%time,field.obs0.id,field.obs0.x,field.obs0.y,field.obs0.relspeed,field.obs0.width,field.obs0.length,field.obs0.height,field.obs0.speed,field.obs0.classification,field.isvalid
1517122817587892364,63,30.0,3.0,-4.4375,1.5,0.0,0.0,0.0,0,61,83.5625,0.125,-7.5,1.60000002384,0.0,0.0,0.0,0,1
1517122817686088634,63,29.125,3.0,-4.5625,1.5,0.0,0.0,0.0,0,61,81.375,0.1875,-7.8125,1.60000002384,0.0,0.0,0.0,0,1
1517122817784785248,63,28.75,3.0,-4.5,1.5,0.0,0.0,0.0,0,61,80.1875,0.25,-7.875,1.60000002384,0.0,0.0,0.0,0,1
1517122817879018743,63,28.375,3.0625,-4.5625,1.5,0.0,0.0,0.0,0,61,79.125,0.25,-8.125,1.60000002384,0.0,0.0,0.0,0,1
1517122817974045883,63,28.1875,3.0625,-4.5,1.5,0.0,0.0,0.0,0,61,78.125,0.3125,-8.25,1.60000002384,0.0,0.0,0.0,0,1
1517122818069330162,63,27.375,3.0625,-4.5,1.5,0.0,0.0,0.0,0,61,76.25,0.375,-8.5,1.54999995232,0.0,0.0,0.0,0,1
1517122818163802725,61,75.125,0.4375,-8.625,1.54999995232,0.0,0.0,0.0,0,63,26.875,3.0625,-4.625,1.5,0.0,0.0,0.0,0,1
1517122818263238951,61,74.0625,0.4375,-8.75,1.54999995232,0.0,0.0,0.0,0,63,26.375,3.0625,-4.8125,1.5,0.0,0.0,0.0,0,1
1517122818360624127,61,73.0,0.5,-8.8125,1.54999995232,0.0,0.0,0.0,0,63,25.8125,3.125,-4.8125,1.5,0.0,0.0,0.0,0,1
1517122818457661754,61,71.75,0.5625,-9.0625,1.54999995232,0.0,0.0,0.0,0,63,25.375,3.125,-4.8125,1.5,0.0,0.0,0.0,0,1
1517122818554843834,61,70.625,0.625,-9.1875,1.54999995232,0.0,0.0,0.0,0,63,24.9375,3.125,-4.8125,1.5,0.0,0.0,0.0,0,1
1517122818655819635,61,69.3125,0.75,-9.375,1.54999995232,0.0,0.0,0.0,0,63,24.5,3.25,-4.875,1.5,0.0,0.0,0.0,0,1
1517122818751823130,61,68.75,0.8125,-9.1875,1.54999995232,0.0,0.0,0.0,0,63,24.125,3.25,-4.8125,1.5,0.0,0.0,0.0,0,1
1517122818846505265,61,67.75,0.875,-9.125,1.54999995232,0.0,0.0,0.0,0,63,23.625,3.25,-4.75,1.5,0.0,0.0,0.0,0,1
1517122818947611011,61,66.875,0.9375,-9.0625,1.54999995232,0.0,0.0,0.0,0,63,23.6875,3.3125,-4.8125,1.54999995232,0.0,0.0,0.0,0,1
1517122819043780880,61,65.6875,1.0625,-9.0,1.54999995232,0.0,0.0,0.0,0,63,23.1875,3.4375,-4.8125,1.54999995232,0.0,0.0,0.0,0,1
1517122819145877716,61,64.75,1.125,-8.9375,1.54999995232,0.0,0.0,0.0,0,63,22.6875,3.4375,-4.625,1.54999995232,0.0,0.0,0.0,0,1
1517122819250725373,61,64.1875,1.1875,-9.0,1.54999995232,0.0,0.0,0.0,0,63,22.6875,3.5,-4.75,1.54999995232,0.0,0.0,0.0,0,1
1517122819347899934,61,63.5625,1.375,-8.9375,1.54999995232,0.0,0.0,0.0,0,63,22.5,3.625,-4.875,1.60000002384,0.0,0.0,0.0,0,1
1517122819445010424,61,62.6875,1.4375,-8.9375,1.54999995232,0.0,0.0,0.0,0,63,22.125,3.6875,-4.875,1.60000002384,0.0,0.0,0.0,0,1
1517122819539138948,61,61.3125,1.5,-8.875,1.54999995232,0.0,0.0,0.0,0,63,21.8125,3.6875,-4.75,1.60000002384,0.0,0.0,0.0,0,1
1517122819633894291,61,60.3125,1.5625,-8.625,1.54999995232,0.0,0.0,0.0,0,63,21.0625,3.75,-4.625,1.60000002384,0.0,0.0,0.0,0,1
1517122819731170708,61,59.6875,1.625,-8.3125,1.54999995232,0.0,0.0,0.0,0,63,20.75,3.8125,-4.5,1.60000002384,0.0,0.0,0.0,0,1
