%time,field.lefttype,field.righttype,field.leftconf,field.rightconf,field.curvature,field.heading,field.leftoffset,field.rightoffset
1517122815166474571,2,2,0,2,0.000502920011058,-0.0144999995828,0.0,0.0
1517122815270950059,2,1,0,2,0.00100202998146,-0.0195000004023,-1.40983271599,2.34016728401
1517122815377903786,2,1,0,2,0.000967740023043,-0.0195000004023,-1.39983272552,2.35016727448
1517122815481638962,2,1,0,2,0.000933450006414,-0.0195000004023,-1.38483262062,2.36516737938
1517122815582695787,2,1,0,2,0.000929640023969,-0.0205000005662,-1.37733268738,2.37266731262
1517122815684619094,2,1,0,2,0.0008762999787,-0.0195000004023,-1.36358261108,2.38641738892
1517122815784371103,2,1,0,2,0.000887729984242,-0.019999999553,-1.35670757294,2.39329242706
1517122815887147246,2,1,0,2,0.0008762999787,-0.019999999553,-1.35327005386,2.39672994614
1517122815989974381,2,1,0,2,0.000769620004576,-0.01600000076,-1.34155130386,2.40844869614
1517122816092877435,2,1,0,2,0.000761999981478,-0.0144999995828,-1.33569192886,2.41430807114
1517122816196210390,2,1,0,2,0.000758189999033,-0.0140000004321,-1.33276224136,2.41723775864
1517122816302756739,2,1,0,2,0.000708659994416,-0.00999999977648,-1.32129740715,2.42870259285
1517122816404105607,2,1,0,2,0.000689610023983,-0.00949999969453,-1.31556510925,2.43443489075
1517122816501801123,2,1,0,2,0.000628650013823,-0.00899999961257,-1.31269884109,2.43730115891
1517122816597052578,2,1,0,2,0.000426720012911,-0.00749999983236,-1.30126571655,2.44873428345
1517122816691220212,2,0,0,2,0.000236220002989,-0.00600000005215,-1.29554915428,2.45445084572
1517122816797162818,2,0,0,2,0.000110490000225,-0.00499999988824,-1.29269099236,2.45730900764
1517122816892810473,2,0,0,2,9.52499976847e-05,-0.00300000002608,-1.29126191139,2.45873808861
1517122816988871714,0,0,1,2,8.76299964148e-05,-0.00200000009499,-1.28054738045,2.46945261955
1517122817096061610,2,0,1,2,-3.80999990739e-05,-0.0010000000475,-1.27519011497,2.47480988503
1517122817194232218,0,0,1,2,-0.000106680003228,0.0,-1.27251148224,2.47748851776
1517122817290338118,0,0,1,2,-0.000182880001375,0.0010000000475,-1.27117204666,2.47882795334
1517122817392840034,0,0,1,2,-0.000228599994443,0.00300000002608,-1.27050232887,2.47949767113
1517122817491691146,0,0,1,2,-0.000266699993517,0.00650000013411,-1.27016758919,2.47983241081
1517122817587892147,0,0,3,2,-0.000320040009683,0.00650000013411,-1.2450838089,2.5049161911
1517122817686093333,0,0,3,2,-0.000316229998134,0.00800000037998,-1.23254191875,2.51745796204
1517122817784794640,2,0,1,2,-0.000281940010609,0.00850000046194,-1.26987457275,2.48012542725
1517122817879028037,2,0,1,2,-0.00027812999906,0.00899999961257,-1.26985359192,2.48014640808
1517122817974050922,2,0,1,2,-0.00027812999906,0.00899999961257,-1.2698431015,2.4801568985
1517122818069338177,2,0,0,2,-0.000270510005066,0.00949999969453,-1.26983785629,2.48016214371
1517122818163804985,2,0,0,2,-0.000266699993517,0.00999999977648,-1.26983523369,2.48016476631
1517122818263245135,2,0,0,2,-0.000255269987974,0.0109999999404,-1.2698340416,2.4801659584
1517122818360632820,2,0,0,2,-0.000213360006455,0.0109999999404,-1.2798333168,2.4701666832
1517122818457667989,2,0,0,2,-0.000209549994906,0.0104999998584,-1.28483295441,2.46516704559
1517122818554855783,2,0,0,2,-0.000201930000912,0.0104999998584,-1.28733277321,2.46266722679
1517122818655827859,2,0,0,2,-0.000194310006918,0.00949999969453,-1.29858279228,2.45141720772
1517122818751831600,2,0,0,2,-0.000194310006918,0.00999999977648,-1.31420779228,2.43579220772
1517122818846514195,2,0,0,2,-0.000160020004841,0.0115000000224,-1.32202029228,2.42797970772
1517122818947623612,2,1,0,2,-0.000148589999299,0.0104999998584,-1.32592654228,2.42407345772
1517122819043790334,2,1,0,2,-0.000133349996759,0.00749999983236,-1.33787965775,2.41212034225
1517122819145884471,2,1,0,2,-0.000102869998955,0.00600000005215,-1.34385609627,2.40614390373
1517122819250738536,2,1,0,2,-6.85799968778e-05,0.00400000018999,-1.3568444252,2.3931555748
1517122819347899054,2,1,0,2,-3.80999995286e-06,0.000500000023749,-1.37333858013,2.37666130066
1517122819445031175,2,1,0,2,2.66700008069e-05,0.0,-1.38158559799,2.36841440201
1517122819539148040,2,1,0,2,5.33400016138e-05,0.000500000023749,-1.38570916653,2.36429071426
1517122819633899697,2,1,0,2,0.000102869998955,0.00200000009499,-1.38777089119,2.36222910881
1517122819731175205,2,1,0,2,0.000121919998492,0.00300000002608,-1.38880181313,2.36119818687
