%time,field.siVehicleSpeed,field.siSteeringAngle,field.siSteeringVelocity,field.siTargetSteeringAngle,field.siTargetSteeringVelocity,field.siTargetTorque,field.siTargetBrakePressure,field.siBrakePressure,field.siSteeringTorqueVoltage,field.siSteeringDAC_A,field.siSteeringDAC_B,field.siAcceleratorPedal
1517122682688674477,21.84,-2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,0.0
1517122682800515853,21.79,-4.0,16.0,0.0,0.0,0.0,0.0,3.0,0.0,2.49641601562,2.49641601562,0.0
1517122682913609552,21.63,-4.5,4.0,0.0,0.0,0.0,0.0,1.0,0.0,2.49641601562,2.49641601562,0.0
1517122683008367656,21.48,-4.5,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.49641601562,2.49641601562,0.0
1517122683120319990,21.26,-4.5,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.49641601562,2.49641601562,0.0
1517122683216219064,20.89,-4.4,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.49641601562,2.49641601562,0.0
1517122683328080842,20.48,-4.4,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.49641601562,2.49641601562,0.0
1517122683424562481,19.9,-4.5,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.49641601562,2.49641601562,0.0
1517122683535841793,19.24,-4.2,4.0,0.0,0.0,0.0,0.0,2.0,0.0,2.49641601562,2.49641601562,0.0
1517122683648073001,18.62,-4.1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,0.0
1517122683743899109,17.97,-3.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.49641601562,2.49641601562,0.0
1517122683855544652,17.15,-3.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.49641601562,2.49641601562,0.0
1517122683951491588,16.47,-3.6,4.0,0.0,0.0,0.0,0.0,1.0,0.0,2.49641601562,2.49641601562,0.0
1517122684063393040,15.82,-3.1,4.0,0.0,0.0,0.0,0.0,1.0,0.0,2.49641601562,2.49641601562,0.0
1517122684159289976,15.13,-2.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.49641601562,2.49641601562,0.0
1517122684271191356,14.32,-2.6,4.0,0.0,0.0,0.0,0.0,2.0,0.0,2.49641601562,2.49641601562,0.0
1517122684367314041,13.58,-2.6,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.49641601562,2.49641601562,0.0
1517122684479190435,12.95,-2.5,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.49641601562,2.49641601562,0.0
1517122684590999989,12.12,-1.6,12.0,0.0,0.0,0.0,0.0,2.0,0.0,2.49641601562,2.49641601562,0.0
1517122684686922211,11.34,-0.8,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.49641601562,2.49641601562,0.0
1517122684798961760,10.8,-0.8,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.49641601562,2.49641601562,0.0
1517122684895094461,9.98,-0.8,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.49641601562,2.49641601562,0.0
1517122685006762302,9.36,-0.8,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.49641601562,2.49641601562,0.0
1517122685102772201,8.53,-0.8,4.0,0.0,0.0,0.0,0.0,2.0,0.0,2.49641601562,2.49641601562,0.0
1517122685214566172,7.88,-0.7,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.49641601562,2.49641601562,0.0
1517122685326444579,7.2,-0.7,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.49641601562,2.49641601562,0.0
1517122685422400476,6.55,-0.7,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.49641601562,2.49641601562,0.0
1517122685534311290,5.79,-0.7,0.0,0.0,0.0,0.0,0.0,7.0,0.0,2.49641601562,2.49641601562,0.0
1517122685630308067,5.14,-0.7,0.0,0.0,0.0,0.0,0.0,8.0,0.0,2.49641601562,2.49641601562,0.0
1517122685742214224,4.57,-0.7,0.0,0.0,0.0,0.0,0.0,9.0,0.0,2.49641601562,2.49641601562,0.0
