%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1517122727423380520,46125,1517122727423224691,gps,-0.00519238948177,0.00901093704781,0.708086394183,0.706049219586,1.21e-06,0.0,0.0,0.0,7.569e-07,0.0,0.0,0.0,0.0001129969,-0.00933,0.00887,0.0218,0.000436332313,0.0,0.0,0.0,0.000436332313,0.0,0.0,0.0,0.000436332313,0.9799,-0.1804,10.0052,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004
1517122727433426940,46126,1517122727433243812,gps,-0.00525545373761,0.00899761698426,0.708153980157,0.705981135359,1.21e-06,0.0,0.0,0.0,7.569e-07,0.0,0.0,0.0,0.0001129969,-0.01019,0.00702,0.01921,0.000436332313,0.0,0.0,0.0,0.000436332313,0.0,0.0,0.0,0.000436332313,1.1121,-0.1434,10.1029,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004
1517122727443532455,46127,1517122727443266909,gps,-0.00533734551146,0.00899375366035,0.708227437876,0.705906878687,1.21e-06,0.0,0.0,0.0,7.569e-07,0.0,0.0,0.0,0.0001129969,-0.01151,0.01094,0.0209,0.000436332313,0.0,0.0,0.0,0.000436332313,0.0,0.0,0.0,0.000436332313,1.0118,-0.3269,9.9642,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004
1517122727453367591,46128,1517122727453173810,gps,-0.00540178967666,0.00893314095152,0.708327721036,0.70580653105,1.21e-06,0.0,0.0,0.0,7.569e-07,0.0,0.0,0.0,0.0001129969,-0.01635,0.00051,0.02094,0.000436332313,0.0,0.0,0.0,0.000436332313,0.0,0.0,0.0,0.000436332313,1.1976,-0.2357,9.7705,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004
1517122727463380600,46129,1517122727463181305,gps,-0.00547683081551,0.0088914611455,0.708397403087,0.70573654117,1.21e-06,0.0,0.0,0.0,7.569e-07,0.0,0.0,0.0,0.0001129969,-0.01582,0.00463,0.01969,0.000436332313,0.0,0.0,0.0,0.000436332313,0.0,0.0,0.0,0.000436332313,1.0864,-0.2226,9.7338,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004
1517122727473419894,46130,1517122727473282692,gps,-0.00557244386712,0.00889016432915,0.708494085293,0.705638748902,1.21e-06,0.0,0.0,0.0,7.569e-07,0.0,0.0,0.0,0.0001129969,-0.01285,0.01318,0.02752,0.000436332313,0.0,0.0,0.0,0.000436332313,0.0,0.0,0.0,0.000436332313,0.9354,-0.209,9.5141,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004
1517122727483460450,46131,1517122727483263396,gps,-0.00560317464075,0.00887600019328,0.70857857256,0.705553844553,1.21e-06,0.0,0.0,0.0,7.569e-07,0.0,0.0,0.0,0.0001129969,-0.00517,0.0024,0.01701,0.000436332313,0.0,0.0,0.0,0.000436332313,0.0,0.0,0.0,0.000436332313,0.9738,-0.2627,10.1471,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004
1517122727493489660,46132,1517122727493265133,gps,-0.00562216991652,0.00889765420707,0.708650960199,0.705480715232,1.21e-06,0.0,0.0,0.0,7.569e-07,0.0,0.0,0.0,0.0001129969,0.00097,0.00564,0.02066,0.000436332313,0.0,0.0,0.0,0.000436332313,0.0,0.0,0.0,0.000436332313,1.1168,-0.1941,10.0592,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004
1517122727503527880,46133,1517122727503201706,gps,-0.00562468419354,0.00893306932524,0.708730925022,0.705399914317,1.21e-06,0.0,0.0,0.0,7.569e-07,0.0,0.0,0.0,0.0001129969,0.00542,0.00527,0.02278,0.000436332313,0.0,0.0,0.0,0.000436332313,0.0,0.0,0.0,0.000436332313,1.0678,-0.2492,9.5154,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004
1517122727513458834,46134,1517122727513226076,gps,-0.00560324381608,0.00896920333628,0.708816865472,0.705313269599,1.21e-06,0.0,0.0,0.0,7.569e-07,0.0,0.0,0.0,0.0001129969,0.00929,0.00202,0.01803,0.000436332313,0.0,0.0,0.0,0.000436332313,0.0,0.0,0.0,0.000436332313,1.0128,-0.1799,9.6637,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004
